ID,Тип,Артикул,Ім'я,Опубліковано,Рекомендовано?,Видимість в каталозі,Короткий опис,Опис,Початок акції,Завершення акції,Статус податку,Клас податку,В наявності?,Запас,Низька кількість запасів,Дозволити резервування?,Продавати окремо?,Вага (kg),Довжина (cm),Ширина (cm),Висота (cm),Дозволити відгуки?,Примітка до покупки,Ціна зі знижкою,Звичайна ціна,Категорії,Позначки,Клас доставки,Зображення,Ліміт завантажень,Число днів до закінчення Завантаження,Предок,Згруповані товари,Над продажі,Супутні товари,Зовнішній URL,Текст кнопки,Положення,Назва 1 атрибуту,1 значення атрибуту,Атрибут 1 видимий,Атрибут 1 глобальний,Назва 2 атрибуту,2 значення атрибуту,Атрибут 2 видимий,Атрибут 2 глобальний,Мета ідентифікатор :ocean_sidebar,Мета ідентифікатор :ocean_second_sidebar,Мета ідентифікатор :ocean_disable_margins,Мета ідентифікатор :ocean_display_top_bar,Мета ідентифікатор :ocean_display_header,Мета ідентифікатор :ocean_center_header_left_menu,Мета ідентифікатор :ocean_custom_header_template,Мета ідентифікатор :ocean_header_custom_menu,Мета ідентифікатор :ocean_menu_typo_font_family,Мета ідентифікатор :ocean_disable_title,Мета ідентифікатор :ocean_disable_heading,Мета ідентифікатор :ocean_disable_breadcrumbs,Мета ідентифікатор :ocean_display_footer_widgets,Мета ідентифікатор :ocean_display_footer_bottom,Мета ідентифікатор :ocean_custom_footer_template,Мета ідентифікатор :_wpml_media_featured,Мета ідентифікатор :_wc_product_documents_title,Мета ідентифікатор :_wc_product_documents_display,Мета ідентифікатор :_wpml_word_count,Мета ідентифікатор :_yoast_wpseo_primary_product_cat,Мета ідентифікатор :osh_disable_topbar_sticky,Мета ідентифікатор :osh_disable_header_sticky,Мета ідентифікатор :osh_sticky_header_style,Мета ідентифікатор :_wpml_media_duplicate,Мета ідентифікатор :_yoast_wpseo_focuskw,Мета ідентифікатор :_yoast_wpseo_linkdex,Мета ідентифікатор :_yoast_wpseo_content_score,Мета ідентифікатор :_yoast_wpseo_focuskeywords,Мета ідентифікатор :_yoast_wpseo_keywordsynonyms,Мета ідентифікатор :_wpml_media_has_media,Мета ідентифікатор :wbcr_wp_old_slug,Мета ідентифікатор :_wp_old_date,Мета ідентифікатор :_oembed_533515a706e016a9bb304a9772c907bb,Мета ідентифікатор :_oembed_time_533515a706e016a9bb304a9772c907bb,Атрибут 2 за замовчуванням,Мета ідентифікатор :_oembed_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :_oembed_time_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :ocean_post_title_style,Мета ідентифікатор :ocean_post_title_background,Мета ідентифікатор :ocean_post_title_bg_image_repeat,Мета ідентифікатор :ocean_post_title_bg_image_size,Мета ідентифікатор :ocean_post_title_bg_overlay,Мета ідентифікатор :ocean_post_title_bg_image_position,Мета ідентифікатор :_oembed_cf5fdf2a60f830e751fd1e288dbafa69,Мета ідентифікатор :_oembed_time_cf5fdf2a60f830e751fd1e288dbafa69,Назва 3 атрибуту,3 значення атрибуту,Атрибут 3 видимий,Атрибут 3 глобальний,Атрибут 3 за замовчуванням,Мета ідентифікатор :_oembed_86593aa9e750ff0f36a65e39973ef073,Мета ідентифікатор :_oembed_time_86593aa9e750ff0f36a65e39973ef073,Мета ідентифікатор :_oembed_b33ae0ea6d4e6f2962235e24f863946f,Мета ідентифікатор :_oembed_time_b33ae0ea6d4e6f2962235e24f863946f,Мета ідентифікатор :_oembed_86ffc6ca0f8f231f0b249032a7f5b2c7,Мета ідентифікатор :_oembed_time_86ffc6ca0f8f231f0b249032a7f5b2c7
561,variation,PC019-22,TRUCK STRONG - 22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1796.85,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG-1.jpg,,,PC019,,,"id:908, PC001, FOR05",,,0,Об'єм,22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,auto-draft-22-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
565,variable,PC018,DPF CLEANER,1,0,visible,"<strong>Рідина для чистки DPF i EGR елементів</strong>
\nПризначений, для чищення сажевого фільтра (DPF / FAP) та клапану EGR.
\nВидаляє смолу, сажу і золу, покращуючи роботу автомобіля із дизельним двигуном.","<strong>DPF CLEANER</strong> - засіб для очищення фільтрів дизельних частинок (DPF / FAP) та клапанів EGR.
\n
\nВимиває смолу, сажу і попіл, створені під час використання дизельного автомобіля.
\n
\n&nbsp;
\n<h3><strong>Використання:</strong></h3>
\nРозібраний фільтр потрібно пропитати в рідині протягом тривалого часу - в ідеалі близько 8 годин. Потім ретельно промити водою, щоб видалити всі домішки. Щоб досягти кращих результатів - прополоскати водою. У разі серйозного забруднення дію необхідно повторити, збільшуючи час контакту з препаратом.
\n
\nЗасіб готовий до використання, не вимагає розведення.
\n
\nЗалежно від розміру фільтра, для ретельної очистки потрібно приблизно 2 літри рідини.",,,taxable,,1,,,0,0,,,,,1,,,,"Промисловість > Мийки та СТО, Промисловість","автокосметика, Промисловість",,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/DPF-CLEANER.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/DPF-CLEANER-1.jpg",,,,,"PC004, PC007, PC019","PC006, N275, PC010",,,0,Бренд,Pro-Chem,1,1,Об'єм,"1 л, 10 л, 20 л, 2x20 л, 5 л",1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":127,""to_translate"":{""ru"":127}}",,default,default,default,1,DPF CLEANER,40,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
568,variation,PC018-20,DPF CLEANER - 20 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3563.93,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/DPF-CLEANER-1.jpg,,,PC018,,,"PC006, N275, PC010",,,1,Об'єм,20 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,dpf-cleaner-20-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
569,variation,PC018-20-2,DPF CLEANER - 2x20 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6831,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/DPF-CLEANER-1.jpg,,,PC018,,,"PC006, N275, PC010",,,2,Об'єм,2x20 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,dpf-cleaner-2x20-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
570,variation,PC018-5,DPF CLEANER - 5 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1158.3,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/DPF-CLEANER-1.jpg,,,PC018,,,"PC006, N275, PC010",,,3,Об'єм,5 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,dpf-cleaner-5-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
571,variation,PC018-1,DPF CLEANER - 1 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,222.75,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/DPF-CLEANER.jpg,,,PC018,,,"PC006, N275, PC010",,,4,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,dpf-cleaner-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
572,variation,PC018-10,DPF CLEANER - 10 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1856.25,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/DPF-CLEANER-1.jpg,,,PC018,,,"PC006, N275, PC010",,,5,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,dpf-cleaner-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
574,variable,PC007,TRUCK,1,0,visible,"<strong>Багатофункціональний миючий засіб</strong>
\nВідмінний миючий засіб, призначений для очищення всіх промислових поверхонь, стійких до лужного середовища.
\nІдеально підходить для: автомобільних брезентів, виробничих цехів, автомайстерень, а також транспортних засобів (автобусів, трамваїв, залізничних вагонів)","Концентрований миючий засіб, призначений для очищення всіх промислових поверхонь, стійких до лужного середовища.
\n
\nІдеально підходить для прибирання:
\n<ul>
\n 	<li>автомобільних брезентів</li>
\n 	<li>виробничих залів</li>
\n 	<li>автомайстерень</li>
\n 	<li>автомобілей та транспортних засобів (автобуси, трамваї, залізничні вагони).</li>
\n</ul>
\nTRUCK розроблений головним чином для використання в автомобільній промисловості. Для чищення брезентів, автомобільних деталей, промислових підлог, автомобільних елементів.
\nВидаляє навіть застарілий бруд, такий як дорожній бруд, мастильні матеріали, масла, жири, сажу і т. Д.
\n
\n<strong>Використання:</strong>
\n
\nЗалежно від ступеня забруднення, використовувати робочий розчин препарату з концентрацією:
\n
\n• 5 - 10% миття під тиском (від 50 - 100 мл препарату на 1 л води)
\n
\n<strong>TRUCK - ЕФЕКТИВНИЙ КОНЦЕНТАТ</strong>
\n
\n<strong>Увага! </strong>Не допускати висихання засобу на очищеній поверхні.
\n
\nНе використовувати на розігрітих поверхнях.",,,taxable,,1,,,0,0,,,,,1,,,,"Промисловість > Миття транспорту, Промисловість","для приміщень, миття, Промисловість",,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-1.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-2.jpg",,,,,"PC006, PC002, PC019","PC001, PC008, PC009",,,0,Бренд,Pro-Chem,1,1,Об'єм,"1 л, 10 л, 22 л, 220 л, 2х22 л, 5 л, 66 л, 7 л",1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":149,""to_translate"":{""ru"":149}}",,default,default,default,1,TRUCK,48,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
578,variation,PC007-22,TRUCK - 22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1670.63,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-1.jpg,,,PC007,,,"PC001, PC008, PC009",,,0,Об'єм,22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,truck-22-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
579,variation,PC007-220,TRUCK - 220 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,13884.82,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-2.jpg,,,PC007,,,"PC001, PC008, PC009",,,2,Об'єм,220 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,truck-220-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
580,variation,PC007-22-2,TRUCK - 2х22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3267,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-1.jpg,,,PC007,,,"PC001, PC008, PC009",,,3,Об'єм,2х22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,truck-2%d1%8522-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
581,variation,PC007-5,TRUCK - 5 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,553.03,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-1.jpg,,,PC007,,,"PC001, PC008, PC009",,,4,Об'єм,5 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,truck-5-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
582,variation,PC007-66,TRUCK - 66 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4529.18,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-2.jpg,,,PC007,,,"PC001, PC008, PC009",,,5,Об'єм,66 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,truck-66-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
583,variation,PC007-7,TRUCK - 7 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,594,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-1.jpg,,,PC007,,,"PC001, PC008, PC009",,,6,Об'єм,7 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,truck-7-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
584,variation,PC007-1,TRUCK - 1 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,103.95,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK.jpg,,,PC007,,,"PC001, PC008, PC009",,,7,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,truck-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
585,variation,PC007-10,TRUCK - 10 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,898.36,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-1.jpg,,,PC007,,,"PC001, PC008, PC009",,,8,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,truck-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
586,variable,PC002,EKO,1,0,visible,"<strong>Паста для миття рук</strong>
\nПаста для миття рук. Видаляє бруд від масел, жирів та сажі. Не викликає подразнення (рН = 5,5)
\nІнгредієнти пасти не шкідливі для навколишнього середовища і повністю розкладаються!","<strong>Паста для миття рук EKO</strong> - чудовий засіб для видалення бруду від масел, жирів та сажі. Композиція пасти була розроблена таким чином, що відмінні миючі властивості супроводжуються м'якістю по відношенню до шкіри рук та тіла.
\n
\nСпеціальні добавки зберігають кислотність пасти близькою до поверхні шкіри (рН = 5,5), а тому, паста не викликає подразнення.
\nІнгредієнти пасти не шкідливі для навколишнього середовища і повністю розкладаються!
\n
\n&nbsp;
\n
\n<img src=""http://imagizer.imageshack.us/v2/280x200q90/923/ZuKDxz.png"" alt="""" />",,,taxable,,1,,,0,0,,,,,1,,,,"Промисловість > Пасти для миття рук, Промисловість","Для рук, Промисловість",,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/EKO.jpg,,,,,"PC205, PC001, PC102, PC103","N262, id:985",,,0,Бренд,Pro-Chem,1,1,Об'єм,"10 л, 5 л, 500 мл",1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":108,""to_translate"":{""ru"":108}}",,default,default,default,1,EKO,41,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,variation,PC002-5,EKO - 5 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,371.25,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/EKO.jpg,,,PC002,,,"N262, id:985",,,0,Об'єм,5 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,eko-5-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
589,variation,"PC002-0,5",EKO - 500 мл,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,44.55,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/EKO.jpg,,,PC002,,,"N262, id:985",,,2,Об'єм,500 мл,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,eko-500-%d0%bc%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
