Артикул,Ім'я,Короткий опис,Опис,Початок акції,Завершення акції,Категорії,Згруповані товари,Над продажі,Супутні товари,Зовнішній URL,Текст кнопки,Положення,Мета ідентифікатор :ocean_sidebar,Мета ідентифікатор :ocean_second_sidebar,Мета ідентифікатор :ocean_disable_margins,Мета ідентифікатор :ocean_display_top_bar,Мета ідентифікатор :ocean_display_header,Мета ідентифікатор :ocean_center_header_left_menu,Мета ідентифікатор :ocean_custom_header_template,Мета ідентифікатор :ocean_header_custom_menu,Мета ідентифікатор :ocean_menu_typo_font_family,Мета ідентифікатор :ocean_disable_title,Мета ідентифікатор :ocean_disable_heading,Мета ідентифікатор :ocean_disable_breadcrumbs,Мета ідентифікатор :ocean_display_footer_widgets,Мета ідентифікатор :ocean_display_footer_bottom,Мета ідентифікатор :ocean_custom_footer_template,Мета ідентифікатор :_wpml_media_featured,Мета ідентифікатор :_wc_product_documents_title,Мета ідентифікатор :_wc_product_documents_display,Мета ідентифікатор :_wpml_word_count,Мета ідентифікатор :_yoast_wpseo_primary_product_cat,Мета ідентифікатор :osh_disable_topbar_sticky,Мета ідентифікатор :osh_disable_header_sticky,Мета ідентифікатор :osh_sticky_header_style,Мета ідентифікатор :_wpml_media_duplicate,Мета ідентифікатор :_yoast_wpseo_focuskw,Мета ідентифікатор :_yoast_wpseo_linkdex,Мета ідентифікатор :_yoast_wpseo_content_score,Мета ідентифікатор :_yoast_wpseo_focuskeywords,Мета ідентифікатор :_yoast_wpseo_keywordsynonyms,Мета ідентифікатор :_wpml_media_has_media,Мета ідентифікатор :wbcr_wp_old_slug,Мета ідентифікатор :_wp_old_date,Мета ідентифікатор :_oembed_533515a706e016a9bb304a9772c907bb,Мета ідентифікатор :_oembed_time_533515a706e016a9bb304a9772c907bb,Мета ідентифікатор :_oembed_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :_oembed_time_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :ocean_post_title_style,Мета ідентифікатор :ocean_post_title_background,Мета ідентифікатор :ocean_post_title_bg_image_repeat,Мета ідентифікатор :ocean_post_title_bg_image_size,Мета ідентифікатор :ocean_post_title_bg_overlay,Мета ідентифікатор :ocean_post_title_bg_image_position,Мета ідентифікатор :_oembed_cf5fdf2a60f830e751fd1e288dbafa69,Мета ідентифікатор :_oembed_time_cf5fdf2a60f830e751fd1e288dbafa69,Мета ідентифікатор :_oembed_86593aa9e750ff0f36a65e39973ef073,Мета ідентифікатор :_oembed_time_86593aa9e750ff0f36a65e39973ef073
PC004,EXPERT,"<strong>Концентрат для знежирення та миття</strong>
\nПотужний концентрат для знежирення та миття. Легко видаляє забруднення маслами, жирами та смолою. Ідеально підходить для очищення олійних плям на бруківці. Найкраще використовувати для:
\n<ul>
\n 	<li>вимивання жирних плям з усіх типів поверхонь (включно з бруківкою)</li>
\n 	<li>у сервісних та виробничих приміщеннях</li>
\n 	<li>миття автомобіля та механічних частин</li>
\n 	<li>АЗС</li>
\n 	<li>автосервісів</li>
\n</ul>","Потужний концентрат для знежирення та миття. Ідеально видаляє домішки, масла, оливи та смоляні залишки.
\nПризначений для використання у вигляді емульсій з водою в концентраціях 1 - 20%.
\n
\nІдеально підходить для:
\n<ul>
\n 	<li>вимивання жирних плям з усіх типів поверхонь (включно з бруківкою)</li>
\n 	<li>сервісні та виробничі зали</li>
\n 	<li>машини та механічні частини</li>
\n 	<li>АЗС</li>
\n 	<li>автосервіси</li>
\n</ul>
\n<h3><strong>Використання:</strong></h3>
\nКонцентрат потрібно розвести холодною водою для одержання розчину:
\n
\n1 - 5% - для прибирання сервісних і виробничих приміщень (ручне миття і машинне)
\n
\n1 - 10% - для очищення плям від масел та мастил з килимів, оббивки та робочого одягу (не впливає на кольори тканини)
\n
\n5 - 20% - для миття масляних плям з бруківки та бетону на автозаправних станціях, для очищення механічних частин
\n
\nУ замкнутому циклі емульсія може бути використана багаторазово.
\n<div></div>
\n<strong>EXPERT – ЕФЕКТИВНИЙ КОНЦЕНТРАТ</strong>
\n
\n&nbsp;
\n
\n&nbsp;
\n
\n<img src=""http://imagizer.imageshack.us/v2/800x600q90/923/D2eqeu.jpg"" alt="""" />",,,"Промисловість > Очищення бруківки, Промисловість",,"PC018, PC008, PC019","PC002, PC212, KWAP2",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":183,""to_translate"":{""ru"":183}}",,default,default,default,1,EXPERT,41,90,,,1,,,,,,,,,,,,,,,,
PC106,BASIC,"<strong>Рідина для ретельного очищення</strong>
\nВін ефективно видаляє застарілий бруд, жирні плями, сажу та ін. Незамінний для миття швів між плитками.","<strong>BASIC</strong> - концентрований миючий засіб, призначений для глибокого очищення всіх типів поверхонь, стійких до лужного середовища. Засіб має очисні та знежирювальні властивості.
\n
\nЕфективно видаляє застарілий бруд, жирні плями, сажу і т. д. <em>BASIC</em> дуже добре підходить для ретельного очищення сильно забруднених поверхонь, наприклад, квартир після реконструкції. Незамінний для чищення швів між плитками. Засіб також використовується для очищення атмосферних забруднень фасадів будівель, кам'яних підлог і бруківки. Завдяки консистенції піни він тривалий час залишається на вертикальних поверхнях, що значно полегшує прибирання.
\n<h3><strong>Використання:</strong></h3>
\nЗалежно від ступеня забруднення поверхні використовуйте наступний розчин препарату:
\n<ul>
\n 	<li>5 - 10% (від 50 до 100 мл препарату на 1 л води)</li>
\n</ul>
\nНанесіть розчин на поверхню, яку слід чистити, і використовуйте механічний засіб для миття (наприклад, губку, щітку, швабру тощо.)
\nПісля використання засобу, проведіть вологе прибирання і вимийте залишки продукту. У випадку сильних забруднень концентрат можна використовувати без розведення (наприклад, для чищення швів).
\nПеред першим використанням слід виконати попередню перевірку на чищеній поверхні.
\n
\n<strong>Увага!</strong> Не допускати висихання продукту на чищеній поверхні. Не використовувати на гарячих поверхнях.
\n
\n[embed]https://youtu.be/0KzniLqVG6Q[/embed]",,,"Господарство, Промисловість > Миття підлоги, Промисловість > Очищення бруківки, Господарство > Підлога, Промисловість",,"PC108, PC102, PC101","PC005, N287, PC219",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":196,""to_translate"":{""ru"":196}}",,default,default,default,1,BASIC,48,90,,,1,,,"<iframe title=""BASIC - Płyn do gruntownego mycia marki PRO-CHEM"" width=""1200"" height=""675"" src=""https://www.youtube.com/embed/0KzniLqVG6Q?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1566243531,,,,,,,,,,,,
PC011,PRO MAT,"<strong>Засіб для матування лакофарбованих покриттів</strong>
\nВідмінний засіб, що використовується в якості добавки до води при матуванні лакованих покриттів: створює чудову адгезію для подальших лакофарбованих виробів.
\n
\nЗменшує утворення нерегулярних подряпин, не забиває наждачний папір.","<strong>PRO MAT -</strong> Відмінний засіб, що використовується як додаток до води при матуванням лакованих покриттів.
\n<ul>
\n 	<li>обезжирює навіть важкий бруд (моторні елементи, двері, механічні частини)</li>
\n 	<li>створює хорошу адгезію для наступних робіт</li>
\n 	<li>зменшує утворення нерегулярних подряпин</li>
\n 	<li>зменшує отвори</li>
\n 	<li>не забиває абразивний папір</li>
\n</ul>
\n&nbsp;
\n
\nВикористовувати як додаток до води.
\n
\nЕкологічний продукт, водорозчинний.
\n
\n<img src=""https://imageshack.com/i/pnZuKDxzp"" alt="""" />",,,Промисловість > Лакування,,"PC013, PC022, PC015","PC225, N287, PC219",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,,no,"{""total"":93,""to_translate"":{""ru"":93}}",,default,default,default,1,PRO MAT,41,90,,,1,,,,,,,,,,,,,,,,
PC014,NON STICKY,"<strong>Засіб до видалення залишків клею, лаків із лакованих поверхонь</strong>
\nВидаляє залишковий клей, смоли та целофан без ризику зміни кольору або пошкодження фарби. Прекрасно працює при видаленні автомобільних наклейок з автомобілів.
\nМає приємний апельсиновий аромат. ","<div class=""g-col-12 product-description"">
\n
\n<strong>NON-STICKY</strong> - чудовий засіб для очищення залишків клею, стрічки, смоли та маркерів на лакованих поверхнях без ризику зміни кольору або пошкодження лаку. Він також може використовуватися для інших поверхонь, у тому числі склі.
\n
\nЗасіб прекрасно працює при видаленні автомобільних наклейок з автомобілів.
\n
\nМає приємний апельсиновий аромат. Засіб готовий до використання без попередньої обробки.
\n
\n&nbsp;
\n<h3><strong>Використання:</strong></h3>
\nПрепарат слід наносити на поверхню, використовуючи апарат для розпилення, залишити на кілька хвилин, а потім протерти.
\n<div class=""video-wrapper""><iframe src=""https://www.youtube.com/embed/HAtX5DZxJXw"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""allowfullscreen"" data-mce-fragment=""1""></iframe></div>
\n</div>",,,"Автокосметика, Автокосметика > Зовнішнє прибирання > Видалення плівок та наклейок, Автокосметика > Зовнішнє прибирання, Промисловість > Лакування, Промисловість",,"PC207, PC215, N275, PC214","PC224, N262, B040",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":117,""to_translate"":{""ru"":117}}",,default,default,default,0,NON STICKY,40,90,,,1,,,,,,,,,,,,,,,,
PC214,RED MONSTER,"<strong>Рідина для миття дисків</strong>
\nНадзвичайно дієвий і дуже ефективний концентрат для миття дисків з кислим PH (рН = 1). Він легко видаляє осад на гальмівних колодках та будь-який дорожній бруд залишаючись при цьому безпечним для шин та дисків. Підходить як для алюмінієвих, так і для сталевих дисків.","Надзвичайно дієвий і дуже ефективний концентрат для миття дисків з кислим PH (<strong>рН = 1</strong>).
\n
\nВін легко знімає відкладення пилу з гальмівних колодок з коліс та будь-якого дорожнього бруду, залишаючись при цьому безпечним для шин та дисків. Підходить як для алюмінієвих, так і для сталевих дисків.
\n
\n&nbsp;
\n
\n<strong>Використання:</strong>
\n
\nЗалежно від ступеня забруднення, препарат розбавляють водою у співвідношенні від 1: 5 до 1: 1. Диски слід обприскувати готовим розчином, почекати 30-60 секунд, потім ретельно промити водою. Не дозволяти препарату сохнути на поверхні, що підлягає очищенню. У випадку важкого забруднення, дія повинна бути повторена, використовуючи механічні засоби, такий як губка чи щітка.
\n
\n&nbsp;
\n
\n<strong>Увага!</strong> Його не можна використовувати для хромованих і полірованих дисків.
\n
\nВ упаковці 750 мл міститься рідина, готова до використання, в інших- концентрат.
\n
\n90% біологічно розкладається.
\n
\n<img src=""http://imagizer.imageshack.us/v2/640x480q90/922/NwEvii.png"" />
\n
\n<strong>90% біологічно розкладається</strong>
\n
\n&nbsp;
\n
\n<img src=""http://imagizer.imageshack.us/v2/640x480q90/922/DmRSMU.png"" alt="""" />
\n
\n[embed]https://youtu.be/jTsXOJxMtwM[/embed]",,,"Автокосметика, Автокосметика > Зовнішнє прибирання, Автокосметика > Зовнішнє прибирання > Миття коліс, Промисловість > Очищення алюмінію, Промисловість",,"PC202, PC207, PC215, PC212","A171, N275, B040",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":194,""to_translate"":{""ru"":194}}",,default,default,default,0,RED MONSTER,44,90,,,1,,,,,,1566128199,,,,,,,,,,
PC022,SMOOTH,"<strong>Анти-піноутворювач</strong>
\nЕфективний засіб для нейтралізації піни в очищувальних пристроях. Забезпечує захист від утворення піни в брудному резервуарі для води у всіх типах машинного очищення.
\nПродукт готовий до використання, не потребує розведення.","<strong>SMOOTH</strong> - це надзвичайно ефективний препарат для нейтралізації піни в чистячих пристроях, так званий піногасник.
\n
\nЗабезпечує захист від утворення піни у брудному резервуарі для води в усіх видах машинного чищення.
\nЗначення <em>PH</em>: 6,5 - 7,8 - нейтральний
\nЗасіб готовий до використання, не вимагає розведення.",,,"Господарство, Промисловість > Інше, Господарство > Килими та оббивка, Промисловість",,"PC005, PC011, PC015","PC005, PC008, PC022",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Product Documents,no,"{""total"":88,""to_translate"":{""ru"":88}}",,default,default,default,1,SMOOTH,41,90,,,1,,,,,,,background-image,2559,no-repeat,cover,0.5,center center,,,,
PC017,ICE KILLER,"<strong>Засіб для розморожування та проти льоду</strong>
\nНе залишає білого нальоту, ефективний при температурах -50 ° С.","<strong>ICE KILLER</strong> - припарат для знищення льоду на поверхнях, розморожувач. Не залишає білого нальоту.
\nУ разі обмерзання або ущільнення, коли важко видалити сніг чи лід, посипати поверхню засобом, кілька секунд почекати до часткового танення снігу або льоду та видалити залишок механічно.
\nПрепарат ефективний до -50 ° С.
\nКількість використаного засобу завжди повинна бути скоригована до переважаючих температурних умов і товщини льодового покриття.
\n
\n<hr />
\n
\n<table border=""1"" cellspacing=""1"" cellpadding=""1"">
\n<tbody>
\n<tr>
\n<td>Температура поверхні:</td>
\n<td>Вага препарату необхідна для видалення льодового шару товщиною 1 мм на поверхні 1м на маси препарату, необхідного для видалення 1 кг льоду або снігу.</td>
\n</tr>
\n<tr>
\n<td> -1<sup>o</sup>C</td>
\n<td>22g</td>
\n</tr>
\n<tr>
\n<td> -2<sup>o</sup>C</td>
\n<td>45g</td>
\n</tr>
\n<tr>
\n<td> -5<sup>o</sup>C</td>
\n<td>97g</td>
\n</tr>
\n<tr>
\n<td> -10<sup>o</sup>C</td>
\n<td>166g</td>
\n</tr>
\n<tr>
\n<td> -15<sup>o</sup>C</td>
\n<td>219g</td>
\n</tr>
\n<tr>
\n<td> -20<sup>o</sup>C</td>
\n<td>263g</td>
\n</tr>
\n<tr>
\n<td> -25<sup>o</sup>C</td>
\n<td>299g</td>
\n</tr>
\n<tr>
\n<td> -30<sup>o</sup>C</td>
\n<td>333g</td>
\n</tr>
\n<tr>
\n<td> -40<sup>o</sup>C</td>
\n<td>388g</td>
\n</tr>
\n<tr>
\n<td> -50<sup>o</sup>C</td>
\n<td>438g</td>
\n</tr>
\n</tbody>
\n</table>",,,"Промисловість > Інше, Промисловість",,"PC222, PC011, PC022","A171, A160, N262",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":147,""to_translate"":{""ru"":147}}",,default,default,default,1,ICE KILLER,42,90,,,,,,,,,,,,,,,,,,,
PC112,JUMBO,"<strong>Рідина для миття кухні</strong>
\nЛегко видаляє жир і старий бруд, залишаючи блискучу та ароматну поверхню. Він підходить для очищення газових та мікрохвильових печей, індукційних плит, витяжок, стільниць, керамічної плитки та інших поверхонь.","<strong>JUMBO</strong> -  дуже ефективний препарат для миття та очищення кухні. Має приємний аромат
\n
\n<em>JUMBO </em>чудово підходить для очищення газових та мікрохвильових печей, індукційних плит, витяжок, стільниць, керамічної плитки та інших поверхонь. Його також можна використовувати для чищення нержавіючої сталі. Прекрасно працює при очищенні віконних рам.
\n
\nЛегко видаляє жир і старий бруд, залишаючи блискучу та ароматну поверхню.
\n
\n&nbsp;
\n
\n<strong>Використання:</strong>
\n
\nПрепарат слід наносити на очищену поверхню, залишити на кілька хвилин, після чого можна витерти весь бруд. У разі сильно забрудненої поверхні дія повинна бути повторена, використовуючи механічний засіб, наприклад, губку.
\n
\n[embed]https://youtu.be/BE9V8Fhw0eU[/embed]",,,"Господарство, Господарство > Кухня",,"PC104, PC004, PC005","PC225, PC014, PC011",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":131,""to_translate"":{""ru"":131}}",,default,default,default,1,JUMBO,41,90,,,1,,,,,,,,,,,,,"<iframe title=""JUMBO - Płyn do mycia kuchni / PRO-CHEM"" width=""1200"" height=""900"" src=""https://www.youtube.com/embed/BE9V8Fhw0eU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1566243389,,
PC118,INTENSIVE,"<strong>Пом'якшувач тканин</strong>
\nВисококонцентрована рідина, що завдяки своїй неймовірній інтенсивності дає можливість насолоджуватися свіжістю протягом тривалого часу. Не пошкоджує тканини та елементи одягу.","Висококонцентрована рідина, яка завдяки своїй неймовірній інтенсивності дає можливість насолоджуватися свіжістю протягом тривалого часу. Спеціальні пом'якшувальні добавки роблять тканини м'якими і приємними на дотик.
\n
\nКрім того, <em>INTENSIVE</em> мінімізує складки, полегшує прасування і робить одяг антистатичним. Захищає тканини від розтягнення, вицвітання і кошлатання. Своїй назві він завдячує інтенсивому запаху, який заповнить ваш будинок після кожного прання.
\n
\n<strong>Дозування:</strong>
\n
\n1 кришечка = 40 мл
\n
\n35 мл = 4 - 5 кг прання
\n
\n55 мл = 6 - 7 кг прання
\n
\n20 мл на 10 літрів води = ручне прання",,,"Господарство, Господарство > Прання",,"PC222, PC116, PC112","PC106, PC116, PC109",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":119,""to_translate"":{""ru"":119}}",,default,default,default,1,INTENSIVE,36,90,,,1,,,,,,,,,,,,,,,,
PC116,IMPERIAL,"<strong>Гель для прання</strong>
\nКонцентрований гель для прання в усіх типах пральних машинах та для ручного прання.
\nЕфективно видаляє бруд, проникаючи глибоко в тканину. <em>IMPERIAL</em> піклується про кольори і легко змивається.","<strong>IMPERIAL</strong> - Концентрований гель до прання в всіх типах пральних машин та для ручного прання. Ефективно видаляє бруд, проникаючи глибоко в тканину. <em>IMPERIAL</em> піклується про кольори і легко змивається.
\n
\n<em>IMPERIAL</em> - робить одяг чистим, свіжим та приємним на дотик. Може використовуватися для делікатної білизни та кольорових тканин.
\n<h3><strong>Дозування:</strong></h3>
\n1 ковпак (кришечка) = 80 мл
\n
\n68 мл для прання - м'яка вода
\n
\n88 мл для прання - тверда вода
\n
\n40 мл – ручне прання
\n
\nДля прання сильно забрудненого одягу дозування можна подвоїти.
\n
\n<em>Найкраща температура для миття: від 20 до 60 ° C</em>",,,"Господарство, Господарство > Прання",,"PC222, PC118, PC102","PC004, PC005, PC113",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,no,"{""total"":128,""to_translate"":{""ru"":128}}",,default,default,default,1,IMPERIAL,40,90,,,1,,,,,,,,,,,,,,,,
PC104,BURNOUT,"<strong>Рідина для миття поверхні печей та камінів</strong>
\nЗасіб призначений для видалення твердих відкладень у камінах та печах.
\nТакож може використовуватись для змивання будь-яких обгорілостей на поверхнях кастрюль, горщиків, газових та електричних плит.
\nІдеально очищає інтер'єр печей, димових камер та грилів. Завдяки консистенції піни тривалий час залишається на вертикальній поверхні, що значно полегшує прибирання.","<strong>BURNOUT</strong> - Засіб призначений для видалення твердих відкладень на камінному склі та в печах.
\n
\nТакож може бути використаний для змивання будь-яких відкладень на поверхнях каструль, горщиків, газових та електричних плит.
\nІдеально очищає внутрішню поверхню печей, димові камери та грилі.
\nЗавдяки консистенції піни він тривалий час залишається на вертикальних поверхнях, що значно полегшує прибирання.
\n<h3><strong>Використання:</strong></h3>
\nНанести препарат на поверхню для очищення, використовуючи піногасник. Зачекати декілька хвилин, щоб пом'якшити відкладення, потім протерти поверхню паперовим рушником або  вологою губкою. У разі серйозного забруднення дію необхідно повторити, продовжуючи час контакту з препаратом. Після очищення промити поверхню водою або кілька разів протерти ганчіркою або губкою, змоченою водою.
\n
\n<strong>Увага!</strong> Не використовувати на розігрітих поверхнях.",,,"Господарство, Господарство > Кухня, Господарство > Офісні приміщення",,"PC222, PC005, PC108","PC006, PC212, FOR05",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":174,""to_translate"":{""ru"":174}}",,default,default,default,1,BURNOUT,47,90,,,1,,,,,,,,,,,,,,,,
PC109,MAGIC,"<strong>Рідина для чищення та догляду за керамічною підлогою</strong>
\nЗасіб призначений для щоденного прибирання та догляду за підлогами, такими як керамічна плитка. Має приємний запах і не залишає смуг та розводів.
\nЗавдяки антистатичним компонентам, запобігає повторному забрудненню.","<strong>MAGIC</strong> - Засіб призначений для щоденного прибирання та догляду за підлогами, такими як керамічна плитка.
\n
\nЕфективно видаляє будь-який бруд, відновлює красивий зовнішній вигляд підлоги і залишає її  блискучою протягом тривалого часу. Завдяки антистатичним компонентам, перешкоджає осіданню пилу та бруду.
\n
\n<em>MAGIC</em> - це надзвичайно ефективний препарат, який очищає і зберігає найкращий стан підлоги, особливо керамічної плитки. Продукт має приємний запах і не залишає смуг.
\n
\n<strong>Використання:</strong>
\n
\nДля щоденного догляду використовуйте розчин 50 мл на 10 л води.
\nВидалення сильного бруду - 100 мл / 10 л води
\nПоверхню підлоги помити шваброю або губкою, потім залишити сохнути.",,,"Господарство, Господарство > Кухня, Промисловість > Миття підлоги, Господарство > Підлога",,"PC106, PC108, PC102","PC005, PC116, PC118",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":137,""to_translate"":{""ru"":137}}",,default,default,default,1,MAGIC,41,90,,,1,,,,,,,,,,,,,,,,
PC117,MYSTERY,"<span class=""tlid-translation translation"" lang=""uk""><strong><span title="""">Ніжне мило в піні із запахом чорного винограду</span></strong>
\n<span class="""" title="""">Ефективно видаляє весь бруд, залишаючи шкіру гладкою та м’якою на дотик.</span></span>","<span class=""tlid-translation translation"" lang=""uk""><span class="""" title="""">MYSTERY - це ніжне мило в піні, що містить у своєму складі зволожуючі елементи.</span>
\n<span title="""">Ефективно видаляє весь бруд, залишаючи шкіру гладкою та м’якою на дотик.</span>
\n<span title="""">Продукт не дратує шкіру рук.</span></span>
\n
\n<strong><span title="""">Використання:</span></strong>
\n
\n<span title="""">Нанесіть невелику кількість мила на мокрі руки,  протріть і змийте.</span>",,,"Господарство > Ванна, Господарство, Господарство > Кухня",,,,,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Product Documents,no,"{""total"":70,""to_translate"":{""ru"":70}}",,default,default,default,1,MYSTERY,,90,,,,,,,,,,,,,,,,,,,
PC113,SOFT HONEY,"<strong>Рідке мило зі запахом меду та молока</strong>
\nЕфективно видаляє будь-який бруд, залишаючи шкіру гладкою і м'якою на дотик.","<strong>SOFT HONEY</strong> - рідке мило з приємним ароматом меду та молока.
\n
\nЕфективно видаляє будь-який бруд, залишаючи шкіру гладкою і м'якою на дотик.
\nНе подразнює шкіру рук.
\n<h3><strong>Використання:</strong></h3>
\nНанести невелику кількість мила на вологі руки, протерти і прополоскати.",,,"Господарство > Ванна, Господарство, Господарство > Кухня",,"PC222, PC002, PC105","PC217, PC102, PC103",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":70,""to_translate"":{""ru"":70}}",,default,default,default,1,SOFT HONEY,40,90,,,1,,,,,,,,,,,,,,,,
PC105,SOFT ORANGE,"<strong>Рідке мило з апельсиновим ароматом</strong>
\nЕфективно видаляє будь-який бруд, залишаючи шкіру гладкою і м'якою на дотик.","<strong>SOFT ORANGE</strong> - рідке мило з приємним апельсиновим ароматом.
\n
\nЕфективно видаляє будь-який бруд, залишаючи шкіру гладкою і м'якою на дотик.
\nНе подразнює шкіру рук.
\n
\n&nbsp;
\n
\n<strong>Використання:</strong>
\n
\nНанести невелику кількість мила на вологі руки, протерти і промити.",,,"Господарство > Ванна, Господарство, Господарство > Кухня",,"PC222, PC118, PC113","PC116, PC112, PC103",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":67,""to_translate"":{""ru"":67}}",,default,default,default,1,SOFT ORANGE,41,90,,,1,,,,,,,,,,,,,,,,
PC110,WASH MASTER,"<strong>Рідина для миття посуду з ароматом малини або лимону</strong>
\nЛегко видаляє жир та інші домішки, такі як кава або чайні залишки або пригорілий бруд.
\nНе залишає плям та повністю безпечний для рук та шкіри.","<strong>WASH MASTER</strong> - надзвичайно ефективний та дієвий концентрат для миття посуду.
\n
\nЛегко видаляє жири та інші домішки з кухонного посуду, наприклад, залишки кави або чаю, пригорілий бруд.
\nНе залишає плям і безпечний для шкіри рук.
\n
\n<img src=""http://imagizer.imageshack.us/v2/640x480q90/922/NwEvii.png"" />
\n
\nПовністю біологічно розкладається",,,"Господарство, Господарство > Кухня",,"PC116, PC118, PC113","PC202, PC225, PC011",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":85,""to_translate"":{""ru"":85}}",,default,default,default,1,WASH MASTER,41,90,,,1,,,,,,,,,,,,,,,,
PC101,ROST ACTIV,"<strong>Засіб для видалення вапняних відкладень з душових кабін, металевих поверхней та плиток</strong>
\nПризначений для видалення відкладень, утворених під час використання твердої води - таких як камінь та іржа. Ідеально очищує всі керамічні металеві та пластикові поверхні. Не залишає жодних плям. Рекомендується в основному для очищення санітарних приміщень (стін та підлоги у ванних кімнатах та душах, ванни, умивальників, душових кабінок, пісуарів та унітазів)
\n
\n&nbsp;","Засіб призначений для видалення відкладень, утворених під час використання твердих вод - таких як камінь та іржа.
\nІдеально очищає всі керамічні, металеві та пластикові поверхні.
\nПромиті поверхні залишаються блискучими, продукт не залишається плям. Засіб має дуже приємний запах.
\n
\nВ основному рекомендується для чищення кімнат та санітарних приміщень, таких як:
\n<ul>
\n 	<li>ванна</li>
\n 	<li>басейни та батареї</li>
\n 	<li>душові кабіни</li>
\n 	<li>пісуари та унітази</li>
\n</ul>
\n&nbsp;
\n
\n<strong>Використання:</strong>
\n
\nОчищену водою поверхню слід обприскувати невеликою кількістю рідини, протерти губкою або ганчіркою, потім промити водою або протерти вологою ганчіркою.",,,"Господарство > Ванна, Господарство",,"PC108, PC102, PC219","A1711, PC002, N287",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":154,""to_translate"":{""ru"":154}}",,default,default,default,1,ROST ACTIV,36,90,,,1,,,,,,,,,,,,,,,,
PC111,FLUSH,"<strong>Гель для чищення туалету</strong>
\nПідходить для миття унітазів, душових каналів, ванн та умивальників. Легко видаляє вапняк, утворений внаслідок використання жорсткої води.","<strong>FLUSH  -</strong> надзвичайно ефективний препарат для чищення туалетів.
\n
\nПідходить для миття унітазів, душових каналів, ванн та умивальників. Легко видаляє вапняк, утворений внаслідок використання жорсткої води. Дає відчуття свіжості протягом тривалого часу.
\n<h3><strong>Використання:</strong></h3>
\nНанести засіб рівномірно на поверхню, яку слід очистити, залишити на кілька хвилин, а потім ретельно промити водою. У разі сильно забрудненої поверхні дію потрібно повторити, використовуючи механічні засоби, наприклад, щітку.
\n
\n<strong>Увага!</strong> Не використовувати для миття мармуру. Для першої очистки поверхонь з невідомими властивостями слід провести попередній тест на стійкість до препарату.",,,"Господарство > Ванна, Господарство",,"PC217, PC206, PC110","PC225, PC116, PC118",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,no,"{""total"":113,""to_translate"":{""ru"":113}}",,default,default,default,1,FLUSH,40,90,,,1,,,,,,,,,,,,,,,,
